Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
0,10000,49.44,50.56,0.0
1,10000,24.52,67.39,8.09
2,10000,20.3,52.89,26.810000000000002
3,10000,36.78,26.87,36.35
4,10000,54.83,23.669999999999998,21.5
5,10000,49.07,38.92,12.01
6,10000,35.5,46.489999999999995,18.01
7,10000,35.88,37.18,26.939999999999998
8,10000,45.2,28.23,26.57
9,10000,49.74,31.209999999999997,19.05
10,10000,43.72,38.06,18.22
11,10000,39.94,37.36,22.7
12,10000,43.55,32.01,24.44
13,10000,46.63,31.75,21.62
14,10000,45.050000000000004,35.160000000000004,19.79
15,10000,42.6,35.82,21.58
16,10000,43.49,33.86,22.650000000000002
17,10000,44.42,33.44,22.14
18,10000,44.48,34.18,21.34
19,10000,43.53,35.22,21.25
20,10000,42.76,35.24,22.0
21,10000,43.1,34.660000000000004,22.24
22,10000,43.74,34.339999999999996,21.92
23,10000,43.7,34.79,21.51
24,10000,42.92,35.21,21.87
25,10000,42.99,34.75,22.259999999999998
26,10000,43.65,34.0,22.35
27,10000,44.13,34.13,21.740000000000002
28,10000,43.44,34.62,21.94
29,10000,42.84,34.89,22.27
30,10000,43.78,33.72,22.5
31,10000,44.92,33.18,21.9
32,10000,44.92,34.13,20.95
33,10000,43.730000000000004,35.099999999999994,21.17
34,10000,42.71,35.28,22.009999999999998
35,10000,42.5,34.74,22.759999999999998
36,10000,44.690000000000005,32.78,22.53
37,10000,44.75,34.06,21.19
38,10000,43.93,34.92,21.15
39,10000,43.03,34.81,22.16
40,10000,43.61,33.910000000000004,22.48
41,10000,44.37,33.629999999999995,22.0
42,10000,44.11,34.02,21.87
43,10000,44.22,33.629999999999995,22.15
44,10000,44.3,33.81,21.89
45,10000,44.379999999999995,34.14,21.48
46,10000,43.87,34.65,21.48
47,10000,43.65,35.0,21.349999999999998
48,10000,43.24,34.79,21.97
49,10000,43.07,34.67,22.259999999999998
50,10000,43.68,33.64,22.68
51,10000,44.31,33.48,22.21
52,10000,44.28,33.97,21.75
53,10000,44.230000000000004,33.92,21.85
54,10000,44.21,34.42,21.37
55,10000,42.61,35.29,22.1
56,10000,43.7,33.660000000000004,22.64
