Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
0,10000,49.35,50.64999999999999,0.0
1,10000,24.05,68.03,7.920000000000001
2,10000,20.02,53.05,26.93
3,10000,37.15,26.11,36.74
4,10000,55.45,23.52,21.029999999999998
5,10000,49.09,39.08,11.83
6,10000,36.38,45.800000000000004,17.82
7,10000,36.29,37.57,26.14
8,10000,44.21,29.880000000000003,25.91
9,10000,47.74,31.72,20.54
10,10000,44.48,36.46,19.06
11,10000,41.81,36.09,22.1
12,10000,42.95,34.04,23.01
13,10000,44.629999999999995,33.45,21.92
14,10000,44.11,34.4,21.490000000000002
15,10000,43.55,34.63,21.82
16,10000,43.36,34.849999999999994,21.790000000000003
17,10000,43.830000000000005,34.21,21.959999999999997
18,10000,43.46,34.660000000000004,21.88
19,10000,43.64,34.489999999999995,21.87
20,10000,43.76,34.21,22.03
21,10000,44.32,33.75,21.93
22,10000,44.11,33.98,21.91
23,10000,43.68,34.910000000000004,21.41
24,10000,43.480000000000004,34.760000000000005,21.759999999999998
25,10000,43.730000000000004,34.38,21.89
26,10000,44.43,33.410000000000004,22.16
27,10000,44.32,34.27,21.41
28,10000,43.580000000000005,34.949999999999996,21.47
29,10000,43.059999999999995,34.97,21.97
30,10000,43.16,34.33,22.509999999999998
31,10000,44.67,33.410000000000004,21.92
32,10000,44.22,34.04,21.740000000000002
33,10000,43.730000000000004,34.599999999999994,21.67
34,10000,43.62,34.339999999999996,22.040000000000003
35,10000,44.06,33.900000000000006,22.040000000000003
36,10000,44.35,33.800000000000004,21.85
37,10000,44.22,34.43,21.349999999999998
38,10000,43.56,34.86,21.58
39,10000,43.47,34.52,22.009999999999998
40,10000,43.51,34.25,22.24
41,10000,43.72,34.39,21.89
42,10000,43.669999999999995,34.449999999999996,21.88
43,10000,44.0,34.050000000000004,21.95
44,10000,44.26,33.94,21.8
45,10000,44.11,34.57,21.32
46,10000,43.44,34.83,21.73
47,10000,43.11,34.849999999999994,22.040000000000003
48,10000,44.07,33.77,22.16
49,10000,44.1,33.97,21.93
50,10000,43.61,34.61,21.78
51,10000,43.28,34.760000000000005,21.959999999999997
52,10000,43.21,34.02,22.770000000000003
53,10000,44.46,33.62,21.92
54,10000,44.5,34.67,20.830000000000002
55,10000,43.419999999999995,34.75,21.83
56,10000,43.169999999999995,34.4,22.43
57,10000,43.84,34.13,22.03
58,10000,43.44,34.150000000000006,22.41
59,10000,43.61,34.58,21.81
60,10000,43.54,34.31,22.15
61,10000,44.06,33.75,22.189999999999998
62,10000,44.06,34.68,21.26
63,10000,42.75,35.18,22.07
64,10000,44.17,33.48,22.35
65,10000,44.35,33.79,21.86
66,10000,43.63,34.61,21.759999999999998
67,10000,44.12,33.69,22.189999999999998
68,10000,44.41,33.72,21.87
69,10000,44.230000000000004,34.11,21.66
70,10000,43.61,33.660000000000004,22.73
71,10000,44.73,33.43,21.84
72,10000,44.37,34.12,21.51
73,10000,44.14,33.660000000000004,22.2
74,10000,44.41,34.150000000000006,21.44
75,10000,43.85,34.38,21.77
76,10000,43.54,34.54,21.92
77,10000,43.68,34.589999999999996,21.73
78,10000,43.309999999999995,34.660000000000004,22.03
