Simulation Number,Total Cells Percentage,Total Empty Cells Percentage,Total Trees Percentage,Total Trees On Fire Percentage
0,10000,50.93,49.07,0.0
1,10000,25.480000000000004,66.46,8.06
2,10000,18.96,53.839999999999996,27.200000000000003
3,10000,29.94,31.869999999999997,38.190000000000005
4,10000,43.78,28.64,27.58
5,10000,43.2,36.07,20.73
6,10000,37.55,38.58,23.87
7,10000,36.09,36.94,26.97
8,10000,37.84,34.870000000000005,27.29
9,10000,40.12,33.69,26.19
10,10000,40.36,35.07,24.57
11,10000,39.31,35.5,25.19
12,10000,38.7,35.809999999999995,25.490000000000002
13,10000,37.980000000000004,36.28,25.740000000000002
14,10000,37.86,35.53,26.61
15,10000,38.96,34.47,26.57
16,10000,39.68,34.71,25.61
17,10000,38.39,36.05,25.56
18,10000,38.56,35.6,25.840000000000003
19,10000,38.29,35.63,26.08
20,10000,38.16,35.77,26.07
21,10000,39.07,34.79,26.14
22,10000,39.21,34.86,25.929999999999996
23,10000,38.14,36.58,25.28
24,10000,38.07,35.55,26.38
25,10000,38.51,34.64,26.85
26,10000,39.69,34.48,25.83
27,10000,38.46,36.620000000000005,24.92
28,10000,38.21,35.370000000000005,26.419999999999998
29,10000,38.75,35.3,25.95
30,10000,38.66,36.1,25.240000000000002
31,10000,38.190000000000005,35.79,26.02
32,10000,37.669999999999995,36.24,26.090000000000003
33,10000,38.71,34.97,26.32
34,10000,39.33,34.82,25.85
35,10000,39.07,35.480000000000004,25.45
36,10000,38.89,35.42,25.69
37,10000,39.03,35.3,25.669999999999998
38,10000,38.9,35.24,25.86
39,10000,39.019999999999996,35.39,25.590000000000003
40,10000,39.23,35.18,25.590000000000003
41,10000,38.84,35.77,25.39
42,10000,38.53,35.85,25.619999999999997
43,10000,38.62,35.75,25.629999999999995
44,10000,38.66,34.870000000000005,26.47
45,10000,39.5,35.06,25.44
46,10000,38.79,35.870000000000005,25.34
47,10000,38.76,35.55,25.69
48,10000,38.85,35.04,26.11
49,10000,39.77,35.14,25.09
50,10000,38.51,36.42,25.069999999999997
51,10000,38.2,35.55,26.25
52,10000,38.37,35.4,26.229999999999997
53,10000,38.39,35.47,26.14
54,10000,38.59,35.43,25.979999999999997
55,10000,38.93,35.14,25.929999999999996
56,10000,39.290000000000006,35.11,25.6
57,10000,38.49,36.15,25.36
58,10000,38.57,35.8,25.629999999999995
59,10000,37.9,35.94,26.16
60,10000,38.690000000000005,34.78,26.529999999999998
61,10000,39.47,34.72,25.81
62,10000,38.85,36.04,25.11
63,10000,38.72,35.29,25.990000000000002
64,10000,38.39,35.93,25.679999999999996
65,10000,38.36,35.64,26.0
66,10000,38.769999999999996,34.99,26.240000000000002
67,10000,38.99,35.17,25.840000000000003
68,10000,38.92,35.07,26.009999999999998
69,10000,39.22,34.99,25.790000000000003
70,10000,39.26,35.099999999999994,25.64
71,10000,38.91,35.57,25.52
72,10000,38.78,36.04,25.180000000000003
73,10000,38.47,36.120000000000005,25.41
74,10000,38.62,35.36,26.02
75,10000,39.7,34.4,25.900000000000002
76,10000,38.24,36.3,25.46
77,10000,38.24,35.99,25.77
78,10000,38.879999999999995,35.22,25.900000000000002
79,10000,38.879999999999995,35.38,25.740000000000002
80,10000,38.519999999999996,35.11,26.369999999999997
81,10000,38.440000000000005,35.94,25.619999999999997
82,10000,38.06,35.24,26.700000000000003
83,10000,39.7,34.52,25.779999999999998
84,10000,39.09,35.699999999999996,25.21
85,10000,37.85,36.66,25.490000000000002
86,10000,38.769999999999996,34.69,26.540000000000003
87,10000,39.96,34.48,25.56
88,10000,39.51,35.339999999999996,25.15
89,10000,39.019999999999996,35.82,25.16
90,10000,38.15,35.86,25.990000000000002
91,10000,38.800000000000004,35.46,25.740000000000002
92,10000,38.06,35.69,26.25
93,10000,38.519999999999996,35.57,25.91
94,10000,38.61,35.61,25.779999999999998
95,10000,38.7,35.370000000000005,25.929999999999996
96,10000,38.769999999999996,35.480000000000004,25.75
